apk,filename,sha256,status,package,target_sdk,min_sdk,pendingintent_create_calls,pendingintent_send_calls,pendingintent_cancel_calls,pendingintent_intentsender_calls,mutable_hits,immutable_hits,unsafe_implicit_hits,fillin_hits,external_pi_source_hits,ownership_hits,permission_hits,explicit_intent_hits,implicit_intent_hits,activity_count,service_count,receiver_count,provider_count,exported_component_count,permissioned_component_count,permission_count,v1_score,v2_score,v3_score,max_score,classification,analysis_seconds
D:\APK_Downloader\android_repositories\fdroid_main\io.github.divverent.aaaaxy_107302184.apk,io.github.divverent.aaaaxy_107302184.apk,226ef3217326235dcd1dd560072705e7e2eb825618dd3bc198e2d54478fc7fff,OK,io.github.divverent.aaaaxy,35,23,2,0,0,1,1,0,0,0,1,0,0,4,0,1,0,0,1,1,0,0,12,13,5,13,mixed,7.59
D:\APK_Downloader\android_repositories\fdroid_main\ru.ikkui.achie_9.apk,ru.ikkui.achie_9.apk,aab0e66e7954ca11053c56a8643db2ecbb0373ffcb444a3e7733f5e721f9419e,OK,ru.ikkui.achie,32,28,2,0,0,1,1,0,0,0,1,0,0,4,0,3,0,0,2,1,0,0,12,13,5,13,mixed,13.96
D:\APK_Downloader\android_repositories\fdroid_main\com.addismaptransit.app_7.apk,com.addismaptransit.app_7.apk,4d62aecc9873a0daf3d6386d86fe47f7842d644c896eb62b63597f520de074be,OK,com.addismaptransit.app,33,16,3,0,0,2,0,1,0,0,2,0,0,1,6,2,1,0,1,1,0,4,3,13,5,13,v2,3.08
D:\APK_Downloader\android_repositories\fdroid_main\com.oF2pks.adbungfu_17.apk,com.oF2pks.adbungfu_17.apk,bf780757313f52218145b242f29af968da8f606ff61f5c5a67454239e69a354b,OK,com.oF2pks.adbungfu,31,21,3,0,0,1,0,0,0,0,1,0,0,4,0,2,0,0,0,1,0,3,3,13,5,13,v2,3.51
D:\APK_Downloader\android_repositories\fdroid_main\com.andsi.airlyrics_10.apk,com.andsi.airlyrics_10.apk,9c0d8965395fbdc171728405eeafe9ca1fb79f50951e746bceccae974f38bd1f,OK,com.andsi.airlyrics,36,26,3,0,0,0,16,18,18,0,0,0,0,0,2,1,2,1,1,3,2,7,17,12,0,17,mixed,11.29
D:\APK_Downloader\android_repositories\fdroid_main\co.epitre.aelf_lectures_86.apk,co.epitre.aelf_lectures_86.apk,d974af858b0055b27b13a611938f8f5f8302f7c92779bee2b26e75d0ea290862,OK,co.epitre.aelf_lectures,36,21,5,0,1,0,8,7,5,0,0,0,0,12,4,2,4,9,2,5,3,6,17,12,13,17,mixed,5.94
D:\APK_Downloader\android_repositories\fdroid_main\net.yukh.xui_90500.apk,net.yukh.xui_90500.apk,bdb10a4c965fa68287e7e60f067ad96cbd34532dbfb688e90afc2f302001e06b,OK,net.yukh.xui,35,24,7,0,1,0,8,10,6,0,0,0,0,12,5,1,4,9,2,4,3,9,17,12,13,17,mixed,6.88
D:\APK_Downloader\android_repositories\fdroid_main\com.codedead.advancedportchecker_17.apk,com.codedead.advancedportchecker_17.apk,96d3096dc1ac75a539f5321ac3c3b3fda9039d3ca20cfbd59b4388fb1737a911,OK,com.codedead.advancedportchecker,35,29,1,0,0,0,6,7,6,0,0,0,0,0,2,4,0,1,1,2,1,7,17,12,0,17,mixed,2.21
D:\APK_Downloader\android_repositories\fdroid_main\bluepie.ad_silence_55.apk,bluepie.ad_silence_55.apk,c134927f92ecbf34d9a6f7f9571b2d22ae02cc35bf89617e4d0044d035536c15,OK,bluepie.ad_silence,35,21,2,0,0,0,3,4,3,0,0,0,0,0,0,1,1,0,0,1,1,3,13,12,0,13,mixed,0.29
D:\APK_Downloader\android_repositories\fdroid_main\mattecarra.accapp_39.apk,mattecarra.accapp_39.apk,c7b9b4d2c86ced043cca21012c1b3ec956f5bf783463d6de7f1299b6518ec9b7,OK,mattecarra.accapp,30,16,9,1,0,1,2,1,2,0,1,0,0,12,2,7,3,2,2,0,2,2,19,12,5,19,mixed,16.53
D:\APK_Downloader\android_repositories\fdroid_main\com.aka.alarm_6.apk,com.aka.alarm_6.apk,c41778893be5b52135379d0c0923715197387ca021bf8ff06136e090f63f2817,OK,com.aka.alarm,36,31,1,0,0,0,2,4,2,0,0,0,0,0,0,1,1,1,1,2,1,7,13,12,0,13,mixed,2.61
D:\APK_Downloader\android_repositories\fdroid_main\com.aisleron_23.apk,com.aisleron_23.apk,2b3fc5770e5810b2b603401cac6cb19f151760baf0dbd9e1a2d0389670f377cc,OK,com.aisleron,36,24,1,0,0,0,1,0,0,0,0,0,0,4,0,2,2,1,1,2,1,1,12,12,0,12,mixed,5.62
D:\APK_Downloader\android_repositories\fdroid_main\com.beemdevelopment.aegis_81.apk,com.beemdevelopment.aegis_81.apk,ab633d31cc0fa49e3ae29a3b816a7fcbe04033a3227f42bd30cf86fcd3be4159,OK,com.beemdevelopment.aegis,35,23,3,0,0,0,1,2,0,0,0,0,0,4,2,15,4,3,2,5,3,6,13,12,0,13,mixed,9.03
D:\APK_Downloader\android_repositories\fdroid_main\de.szalkowski.activitylauncher_20500.apk,de.szalkowski.activitylauncher_20500.apk,0c731f01cb359e133b3c2d1d5655ce21a99de9e44a324fcb4dc64e0dc195c644,OK,de.szalkowski.activitylauncher,37,16,2,0,0,0,1,1,0,0,0,0,0,4,0,5,2,2,1,7,4,5,9,12,0,12,v2,3.3
D:\APK_Downloader\android_repositories\fdroid_main\org.mattvchandler.a2050_190010010.apk,org.mattvchandler.a2050_190010010.apk,98a0e75e589c319093db56cf98bfa32d920b9436a9cbe7c30b32dcf7a4a6d284,OK,org.mattvchandler.a2050,33,19,1,0,0,0,1,0,0,0,0,0,0,4,0,2,0,1,1,2,1,3,12,12,0,12,mixed,3.93
D:\APK_Downloader\android_repositories\fdroid_main\alt.nainapps.aer_1735160000.apk,alt.nainapps.aer_1735160000.apk,b2d42a4f59c7d3a248c69c7b1fac925bb90d05322814268eb9cb5eeb96d707b5,OK,alt.nainapps.aer,35,26,1,0,0,0,0,1,0,0,0,0,0,0,0,5,2,1,2,6,4,5,3,12,0,12,v2,2.98
D:\APK_Downloader\android_repositories\fdroid_main\ch.bailu.aat_45.apk,ch.bailu.aat_45.apk,f10bae02e75b884c6e92e165e41c9cc92bff51d85c25aa01feddf68471080491,OK,ch.bailu.aat,33,22,1,0,0,0,0,2,0,0,0,0,0,0,0,18,3,0,3,5,2,14,3,12,0,12,v2,10.88
D:\APK_Downloader\android_repositories\fdroid_main\com.corphish.nightlight.generic_66.apk,com.corphish.nightlight.generic_66.apk,1a3c2e9e1f402e782ea1be04df8a38215484e6529d10e4d63182e4e60402f152,OK,com.corphish.nightlight.generic,30,21,5,0,0,0,0,1,1,0,0,0,0,4,0,11,3,4,1,2,2,5,7,12,0,12,v2,10.13
D:\APK_Downloader\android_repositories\fdroid_main\com.dasp.worldcup2026_1.apk,com.dasp.worldcup2026_1.apk,8c7b60c9cef5a6343f000f12ff0a0714bc6f3de72ced17c57f1ce4a147bc4a67,OK,com.dasp.worldcup2026,35,23,4,0,0,0,0,2,0,0,0,0,0,0,3,1,2,3,0,4,2,3,3,12,0,12,v2,0.04
D:\APK_Downloader\android_repositories\fdroid_main\com.github.meypod.al_quran_43.apk,com.github.meypod.al_quran_43.apk,d54a704f5f6528c5a47affc5ada1c6945c4fbcb19ff09b968086f0392809371a,OK,com.github.meypod.al_quran,36,24,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,2,1,1,3,12,0,12,v2,2.65
D:\APK_Downloader\android_repositories\fdroid_main\de.rampro.activitydiary_136.apk,de.rampro.activitydiary_136.apk,9523b54582c144a97e6bcf4a446659d10c3dd5479f329dd45e314786f19e741f,OK,de.rampro.activitydiary,30,21,5,0,0,1,6,6,6,0,3,0,0,4,0,11,3,0,5,0,2,5,13,10,5,13,mixed,5.01
D:\APK_Downloader\android_repositories\fdroid_main\io.github.dkter.aaaaa_4.apk,io.github.dkter.aaaaa_4.apk,a401cb8900129a26023cd15b1adeaa8cbd30e658347eb9cd28c035388b595b60,OK,io.github.dkter.aaaaa,30,21,3,0,0,1,0,0,0,0,1,0,0,4,0,1,1,0,0,0,1,0,3,10,5,10,v2,8.14
D:\APK_Downloader\android_repositories\fdroid_main\itkach.aard2_58.apk,itkach.aard2_58.apk,0a1e7b216439894a11b87d621e3ac9406f950fb73abd7983414407cb3f93733a,OK,itkach.aard2,34,19,7,0,1,0,2,1,2,0,0,0,0,10,0,2,0,0,0,30,0,2,13,9,13,13,mixed,7.05
D:\APK_Downloader\android_repositories\fdroid_main\com.ahorcado_7.apk,com.ahorcado_7.apk,7f4df3878508804bd0d15df2bdd29cb7f70377182b2e8c069c060024e547e2d5,OK,com.ahorcado,29,21,6,0,0,0,2,1,2,0,0,0,0,6,0,1,1,2,0,1,0,5,13,9,0,13,v1,4.65
D:\APK_Downloader\android_repositories\fdroid_main\com.github.ashutoshgngwr.tenbitclockwidget_221.apk,com.github.ashutoshgngwr.tenbitclockwidget_221.apk,35ff9940fd3d73acd1099f3640be6367c311ec9f6c34fa17e4748e874ecfe763,OK,com.github.ashutoshgngwr.tenbitclockwidget,33,14,3,0,0,0,1,2,0,0,0,0,0,4,1,2,0,1,1,2,0,4,13,9,0,13,v1,2.1
D:\APK_Downloader\android_repositories\fdroid_main\com.acho.chat.app_2.apk,com.acho.chat.app_2.apk,c0f0fbf74a92020d2f4859e02e1ff8564acec66e036435d5160cf74a12e20297,OK,com.acho.chat.app,35,25,3,0,0,0,0,3,3,0,0,0,0,0,0,1,1,1,0,2,0,9,7,9,0,9,none,0.08
D:\APK_Downloader\android_repositories\fdroid_main\de.HS_Aalen.don_6.apk,de.HS_Aalen.don_6.apk,bad6f886478eb8e3c75059b6dc85e8fddcca6ae8d13d767d7954d13d07477039,OK,de.HS_Aalen.don,35,21,2,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,1,0,0,3,9,0,9,none,1.03
D:\APK_Downloader\android_repositories\fdroid_main\org.strawberryforum.argentum_5.apk,org.strawberryforum.argentum_5.apk,ef03f54b95ce39707e1ae2dd3ca2ba64ef6b37c11cab2431b68bd82f7ddee7be,OK,org.strawberryforum.argentum,33,15,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,2,3,9,0,9,none,5.99
D:\APK_Downloader\android_repositories\fdroid_main\ir.hsn6.tpb_2.apk,ir.hsn6.tpb_2.apk,37ffc01c030e3d24eb2e2129c8f91684ac5c97251ca0101f2759e57fbebe6c7f,OK,ir.hsn6.tpb,29,18,6,0,0,0,2,2,2,0,1,0,0,10,0,1,1,0,0,0,0,0,13,7,5,13,v1,3.25
D:\APK_Downloader\android_repositories\fdroid_main\a2dp.Vol_169.apk,a2dp.Vol_169.apk,f67ef52502faf8dbcef310c122d9efe7871effdd8f9fe0ca93b9925513152d37,OK,a2dp.Vol,28,23,13,0,0,0,19,18,20,0,0,0,0,12,0,9,5,3,0,0,1,17,13,6,0,13,v1,2.1
D:\APK_Downloader\android_repositories\fdroid_main\io.github.yoshi1123.adbio_4.apk,io.github.yoshi1123.adbio_4.apk,46152474065cf2d9ca71f7a0ebd07c1913261cb64c2241924010e9999d1070b1,OK,io.github.yoshi1123.adbio,29,24,2,0,0,0,4,4,4,0,0,0,0,0,2,1,1,1,0,0,1,1,17,6,0,17,v1,0.09
