apk,filename,sha256,status,package,target_sdk,min_sdk,pendingintent_create_calls,pendingintent_send_calls,pendingintent_cancel_calls,pendingintent_intentsender_calls,mutable_hits,immutable_hits,unsafe_implicit_hits,fillin_hits,external_pi_source_hits,ownership_hits,permission_hits,explicit_intent_hits,implicit_intent_hits,activity_count,service_count,receiver_count,provider_count,exported_component_count,permissioned_component_count,permission_count,v1_score,v2_score,v3_score,max_score,classification,analysis_seconds
D:\APK_Downloader\android_repositories\fdroid_main\com.lolo.io.onelist_22.apk,com.lolo.io.onelist_22.apk,077f0e17216bc7f6597c1b71b15005cd0f1be04400b5f29959348db076b46ee8,OK,com.lolo.io.onelist,34,23,1,0,0,2,1,0,0,0,6,0,0,4,0,5,1,1,1,6,1,4,12,16,5,16,mixed,4.83
D:\APK_Downloader\android_repositories\fdroid_main\com.lun.chin.aicamera_1.apk,com.lun.chin.aicamera_1.apk,e3de39fdfbe499faa7c41a2a0a88acfffd9f6edc7fa38f2a4ca002393b76f2be,OK,com.lun.chin.aicamera,28,21,5,0,0,0,2,1,2,0,0,0,0,12,0,1,0,0,0,0,0,4,13,3,0,13,v1,3.36
D:\APK_Downloader\android_repositories\fdroid_main\com.metalshard.projectwave_2.apk,com.metalshard.projectwave_2.apk,2b1a8a96d7b12d701d6ef3e34974cca3f5c33f4f4c6f0d3f7490fc9bdc966bb6,OK,com.metalshard.projectwave,36,21,17,3,0,1,4,3,2,0,2,0,0,28,2,1,2,1,1,3,1,5,19,18,5,19,mixed,40.73
D:\APK_Downloader\android_repositories\fdroid_main\com.mufradat.africaquiz_1.apk,com.mufradat.africaquiz_1.apk,649282d36bd5c237acfc7354d1d3af66fac198706880cf7353903dd47260ad12,OK,com.mufradat.africaquiz,36,24,8,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,1,5,18,5,18,v2,23.91
D:\APK_Downloader\android_repositories\fdroid_main\com.newoether.agora_25.apk,com.newoether.agora_25.apk,9696f91f15258f905963ce5013eb71a6bf3bc66a4ef59375852cbd16cb50a2bb,OK,com.newoether.agora,36,24,17,4,1,1,4,8,1,0,4,0,0,5,0,1,5,9,4,5,4,10,15,18,23,23,mixed,42.07
D:\APK_Downloader\android_repositories\fdroid_main\com.oF2pks.adbungfu_17.apk,com.oF2pks.adbungfu_17.apk,bf780757313f52218145b242f29af968da8f606ff61f5c5a67454239e69a354b,OK,com.oF2pks.adbungfu,31,21,3,0,0,1,0,0,0,0,1,0,0,4,0,2,0,0,0,1,0,3,3,13,5,13,v2,3.51
D:\APK_Downloader\android_repositories\fdroid_main\com.pedronveloso.a11ybutton_3.apk,com.pedronveloso.a11ybutton_3.apk,f22a539c35945d5eea817cee49f5bf15148412fc243a54baab30081c5a92572a,OK,com.pedronveloso.a11ybutton,37,30,7,5,1,0,28,29,28,0,2,0,1,11,2,2,4,6,1,4,4,6,19,19,25,25,mixed,1.55
D:\APK_Downloader\android_repositories\fdroid_main\com.rascarlo.adaptive.brightness.tile_2.apk,com.rascarlo.adaptive.brightness.tile_2.apk,b446621ce9bfaff14ab90d04ef5415d1de7823c0497c8301ae6b39822e4773bd,OK,com.rascarlo.adaptive.brightness.tile,28,24,1,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,0,0,2,1,3,6,0,6,none,0.69
D:\APK_Downloader\android_repositories\fdroid_main\com.roufsyed.onekey_3.apk,com.roufsyed.onekey_3.apk,690a58bb75780d9f835183ae6deb563e06db659218a4275ddd40ba15353d66ce,OK,com.roufsyed.onekey,36,26,3,5,0,1,7,8,6,0,3,0,0,0,0,3,3,1,1,3,2,7,15,18,5,18,mixed,7.85
D:\APK_Downloader\android_repositories\fdroid_main\com.shapeshed.aerial_15.apk,com.shapeshed.aerial_15.apk,f8c8bedecc6cff5f04e76fc91be102f1993865059d0fec0332dc6a5f1982d524,OK,com.shapeshed.aerial,37,26,12,2,0,0,18,24,17,0,2,0,0,25,1,1,3,1,2,4,1,7,19,18,5,19,mixed,5.56
D:\APK_Downloader\android_repositories\fdroid_main\com.trianguloy.adnihilation_3.apk,com.trianguloy.adnihilation_3.apk,ae531b495cc39b210fc13ef74e7e5e663f8fde658a3535e3b964675f8c417d80,OK,com.trianguloy.adnihilation,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,none,0.04
D:\APK_Downloader\android_repositories\fdroid_main\com.tughi.aggregator_299034.apk,com.tughi.aggregator_299034.apk,be0dd843edfdf2fc8fba9a4b70ac0d53a9178883d9c767b98db03fe1cb52470d,OK,com.tughi.aggregator,34,21,14,4,0,1,4,8,3,0,1,0,1,4,2,20,3,1,1,4,3,5,19,19,7,19,mixed,7.47
D:\APK_Downloader\android_repositories\fdroid_main\de.HS_Aalen.don_6.apk,de.HS_Aalen.don_6.apk,bad6f886478eb8e3c75059b6dc85e8fddcca6ae8d13d767d7954d13d07477039,OK,de.HS_Aalen.don,35,21,2,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,1,0,0,3,9,0,9,none,1.03
D:\APK_Downloader\android_repositories\fdroid_main\de.rainerhock.eightbitwonders_100091.apk,de.rainerhock.eightbitwonders_100091.apk,eda7bf2708380ae165b22be85f334238f703aeee6445b6a986e440b9c7139cb0,OK,de.rainerhock.eightbitwonders,35,19,4,0,0,0,1,2,1,0,1,0,0,4,2,13,3,2,2,3,0,7,17,13,5,17,mixed,2.63
